team,attack_strength,defense_strength,overall_rating
Turkey,-0.1574,-3.0,2.8426
Yugoslavia,1.0462,-0.6503,1.6965
France,0.638,-0.527,1.165
Germany,0.7826,-0.3572,1.1398
Italy,0.4903,-0.6414,1.1317
Spain,0.7251,-0.283,1.0081
Netherlands,0.5232,-0.483,1.0062
Brazil,0.6265,-0.3673,0.9938
Argentina,0.5286,-0.2998,0.8284
Croatia,0.4739,-0.3204,0.7943
Czechia,0.652,-0.1339,0.786
England,0.4392,-0.3032,0.7424
New Zealand,-0.1755,-0.8948,0.7193
Portugal,0.5645,-0.1275,0.6921
Belgium,0.3785,-0.3015,0.6799
Paraguay,0.0304,-0.5794,0.6099
Norway,0.2202,-0.3735,0.5937
Slovakia,0.9284,0.3699,0.5584
Peru,-0.1832,-0.7373,0.5541
Romania,0.4761,-0.0627,0.5388
Sweden,0.4137,-0.1217,0.5354
Ireland,-0.0578,-0.591,0.5332
Uruguay,0.2534,-0.238,0.4914
Russia,0.5879,0.1279,0.46
Turkiye,0.3172,-0.1313,0.4485
Mexico,0.3148,-0.031,0.3458
Denmark,0.2324,-0.1064,0.3388
Ukraine,0.4696,0.1477,0.3218
Senegal,0.5432,0.2259,0.3173
Ecuador,0.1561,-0.1494,0.3055
Japan,0.1618,-0.1008,0.2626
Colombia,0.1035,-0.1561,0.2596
Morocco,0.0917,-0.1659,0.2576
Ghana,0.3402,0.0829,0.2573
Cote d'Ivoire,0.3376,0.0967,0.2409
Bosnia & Herzegovina,0.3571,0.1458,0.2113
Algeria,0.092,-0.0782,0.1702
Switzerland,0.2264,0.1036,0.1228
Austria,-0.0198,-0.1392,0.1194
Australia,0.2915,0.1894,0.1021
Nigeria,0.1839,0.1113,0.0726
South Korea,0.2465,0.1883,0.0582
South Africa,0.3585,0.31,0.0485
Chile,0.184,0.1599,0.0241
Cabo Verde,0.0,0.0,0.0
Congo DR,0.0,0.0,0.0
Iraq,0.0,0.0,0.0
Curacao,0.0,0.0,0.0
Jordan,0.0,0.0,0.0
Uzbekistan,0.0,0.0,0.0
Haiti,0.0,0.0,0.0
USA,0.3708,0.3861,-0.0154
Bulgaria,0.2546,0.2966,-0.042
United States,0.0557,0.1027,-0.047
Serbia,0.145,0.2138,-0.0688
Cameroon,0.1747,0.3205,-0.1458
Costa Rica,0.1622,0.3387,-0.1764
Scotland,-0.1613,0.0972,-0.2585
Slovenia,0.0162,0.2759,-0.2597
Iceland,-0.1859,0.1765,-0.3625
IR Iran,-0.205,0.2066,-0.4116
Poland,-0.2172,0.2005,-0.4176
Angola,-1.0462,-0.6165,-0.4297
Jamaica,0.3049,0.7696,-0.4647
Tunisia,-0.3165,0.1832,-0.4997
Egypt,-0.5411,0.0506,-0.5917
Canada,-0.0489,0.5927,-0.6416
Bolivia,-0.9203,-0.2601,-0.6603
Saudi Arabia,-0.1407,0.5785,-0.7192
United Arab Emirates,-0.2636,0.9756,-1.2392
Togo,-0.994,0.376,-1.37
Panama,-0.2216,1.1508,-1.3724
Qatar,-0.9328,0.4963,-1.4291
Greece,-0.8667,0.5879,-1.4546
Wales,-1.0503,0.6323,-1.6826
North Korea,-0.9115,0.9424,-1.854
Honduras,-1.6534,0.2879,-1.9413
Trinidad & Tobago,-3.0,0.0473,-3.0473
China,-3.0,0.7833,-3.7833
